LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate,ParameterList
17,-,1131573795,2005.11.09,bn347,Nov,9,14:03:15,bn347/bn347,kernel,,ACPI: PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBB._PRT],d3aad3a7,ACPI: PCI Interrupt Routing Table [<*>],['\\_SB_.PCI0.PALO.DOBB._PRT']
18,VAPI,1131747171,2005.11.11,an664,Nov,11,14:12:51,an664/an664,kernel,,"[KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",61b9cd92,"[KERNEL_IB][tsIbTavorMadProcess][<*><*>]InfiniHost<*>: EVAPI_process_local_mad failed, return code = -<*> (Fatal error (Local Catastrophic Error))","['', '/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152', '0', '254']"
19,VAPI,1131747172,2005.11.11,an664,Nov,11,14:12:52,an664/an664,kernel,,"[KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",61b9cd92,"[KERNEL_IB][tsIbTavorMadProcess][<*><*>]InfiniHost<*>: EVAPI_process_local_mad failed, return code = -<*> (Fatal error (Local Catastrophic Error))","['', '/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152', '0', '254']"
20,VAPI,1131747172,2005.11.11,an664,Nov,11,14:12:52,an664/an664,kernel,,"[KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",61b9cd92,"[KERNEL_IB][tsIbTavorMadProcess][<*><*>]InfiniHost<*>: EVAPI_process_local_mad failed, return code = -<*> (Fatal error (Local Catastrophic Error))","['', '/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152', '0', '254']"
21,-,1131747181,2005.11.11,bn832,Nov,11,14:13:01,bn832/bn832,dataeng,,dcevt32d startup succeeded,892e658b,dcevt<*>d startup succeeded,['32']
22,-,1131747181,2005.11.11,bn832,Nov,11,14:13:01,bn832/bn832,dataeng,,dcstor32d startup succeeded,7bc7ba78,dcstor<*>d startup succeeded,['32']
23,-,1131747181,2005.11.11,bn833,Nov,11,14:13:01,bn833/bn833,instsvcdrv,,dcdipm device driver loaded,c2e589ec,dcdipm device driver loaded,[]
24,-,1131747181,2005.11.11,bn837,Nov,11,14:13:01,bn837/bn837,omsad32,,tput: No value for $TERM and no -T specified,c431dc9a,tput: No value for $TERM and no -T specified,[]
25,-,1131747181,2005.11.11,bn837,Nov,11,14:13:01,bn837/bn837,omsad,,omsad32 startup succeeded,1324d484,omsad<*> startup succeeded,['32']
26,-,1131747181,2005.11.11,bn842,Nov,11,14:13:01,bn842/bn842,omsad32,,tput: No value for $TERM and no -T specified,c431dc9a,tput: No value for $TERM and no -T specified,[]
27,-,1133720534,2005.12.04,bn336,Dec,4,10:22:14,bn336/bn336,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
28,-,1133720592,2005.12.04,cn745,Dec,4,10:23:12,cn745/cn745,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
29,-,1133720597,2005.12.04,cn906,Dec,4,10:23:17,cn906/cn906,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
30,-,1133721118,2005.12.04,#1#,Dec,4,10:31:58,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
31,-,1133750776,2005.12.04,#1#,Dec,4,18:46:16,#1#/#1#,ntpd,,succeeded,9b1751bd,succeeded,[]
32,-,1133722526,2005.12.04,#1#,Dec,4,10:55:26,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
33,-,1133752180,2005.12.04,#1#,Dec,4,19:09:40,#1#/#1#,ntpd,,succeeded,9b1751bd,succeeded,[]
34,-,1133723952,2005.12.04,#1#,Dec,4,11:19:12,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
35,-,1133725339,2005.12.04,#1#,Dec,4,11:42:19,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
36,-,1133726751,2005.12.04,#1#,Dec,4,12:05:51,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
37,-,1133728140,2005.12.04,#1#,Dec,4,12:29:00,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
38,-,1133729555,2005.12.04,#1#,Dec,4,12:52:35,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
39,-,1133730963,2005.12.04,#1#,Dec,4,13:16:03,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
40,-,1133732366,2005.12.04,#1#,Dec,4,13:39:26,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
41,-,1133733785,2005.12.04,#1#,Dec,4,14:03:05,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
42,-,1133735194,2005.12.04,#1#,Dec,4,14:26:34,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
43,-,1133736604,2005.12.04,#1#,Dec,4,14:50:04,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
44,-,1133738018,2005.12.04,#1#,Dec,4,15:13:38,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
45,-,1133739416,2005.12.04,#1#,Dec,4,15:36:56,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
46,-,1133740828,2005.12.04,#1#,Dec,4,16:00:28,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
47,-,1133742259,2005.12.04,#1#,Dec,4,16:24:19,#1#/#1#,syslogd 1.4.1,,restart.,6f97e9d4,restart.,[]
